"rec_centers.csv","fields.csv","playgrounds.csv","libraries.csv","pools.csv","licensed_child_care.csv","parks.csv"
"name","sport","location","name","name","name","name"
"type","location","year_rehab","patron_count","type","license_type","class"
"year_built","tier","class","circulation_volume","location","long","has_nature"
"year_last_remodeled","class","long","sqft","long","lat","has_garden"
"bldg_sqft","long","lat","long","lat",NA,"has_biking"
"short_name","lat","sqft","lat",NA,NA,"long"
"has_cardio","sqft",NA,NA,NA,NA,"lat"
"has_weights",NA,NA,NA,NA,NA,"sqft"
"has_gym",NA,NA,NA,NA,NA,NA
"has_arts_culture",NA,NA,NA,NA,NA,NA
"has_day_camps",NA,NA,NA,NA,NA,NA
"has_educ_programs",NA,NA,NA,NA,NA,NA
"has_fitness_health_programs",NA,NA,NA,NA,NA,NA
"has_senior_programs",NA,NA,NA,NA,NA,NA
"has_social_enrich_clubs",NA,NA,NA,NA,NA,NA
"has_special_events",NA,NA,NA,NA,NA,NA
"has_sports",NA,NA,NA,NA,NA,NA
"has_aquatics",NA,NA,NA,NA,NA,NA
"long",NA,NA,NA,NA,NA,NA
"lat",NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA
