"name","patron_count","circulation_volume","sqft","long","lat"
"Ross-Broadway",78909,183930,4500,-104.987117591121,39.7147735310427
"Ross-University Hills",191607,641750,21143,-104.937772290729,39.6654190506174
"Ross-Cherry Creek",195128,333433,17808,-104.952205875201,39.7210613979019
"Eugene Field",112537,303551,10500,-104.95933260411,39.7018264739744
"Woodbury",117615,288001,10023,-105.025243650726,39.7627920896114
"Valdez-Perry",50075,46111,4883,-104.962405462281,39.7817992867109
"Park Hill",159785,387181,10260,-104.93276914454,39.747402927665
"Green Valley Ranch",214301,335962,25602,-104.766843230327,39.7849247270732
"Ford-Warren",87517,160834,10573,-104.964722970707,39.7572993026427
"Sam Gary",260107,749021,28490,-104.900995372029,39.7590432029825
"Central",953878,1226843,540315,-104.987289495746,39.7384331120557
"Montbello",132874,133584,11443,-104.84062078754,39.7798663116837
"Athmar Park",87425,109438,6478,-105.012738231263,39.6974614841058
"Blair-Caldwell",126460,108572,34957,-104.98164902424,39.752018042443
"Ross-Barnum",78792,124911,10500,-105.034566147617,39.7181543433335
"Rodolfo ""Corky"" Gonzalez Branch",180857,321423,26973,-105.029388831796,39.7399188504571
"Byers",63628,44562,3999,-104.998594246844,39.7269098141634
"Hadley",91507,162322,12962,-105.026213555252,39.6824303774611
"Westwood",52713,50050,1073,-105.03444315617,39.6985202199548
"Virginia Village",134702,392856,11524,-104.931697252644,39.6893226715176
"Bear Valley",170543,391010,11410,-105.051641640694,39.6561650099749
"Pauline Robinson",70130,69662,5285,-104.922732347052,39.7638051152941
"Decker",99948,184280,4932,-104.982791977395,39.6893982597924
"Hampden",151501,423918,11560,-104.875034246649,39.6543294033017
"Smiley",118602,286271,4726,-105.045127613013,39.7802434250547
"Schlessman Family",213601,689705,14884,-104.904955831427,39.7183720951251
