"name","type","location","long","lat"
"Washington Park Recreation Center","Indoor","Washington Park",-104.97052794081,39.7026340839105
"Martin Luther King Jr Recreation Center","Indoor","Martin Luther King Jr Park",-104.909280392148,39.7707185284274
"Montclair Recreation Center","Indoor","Monclair Recreation Center",-104.894693356118,39.7273795758712
"Montbello Recreation Center","Indoor","Parkfield",-104.805597902217,39.7927378764775
"Twentieth Street Recreation Center","Indoor","Twentieth Street Recreation Center",-104.989984994545,39.7513722640953
"Hiawatha Davis Jr Recreation Center","Indoor","Skyland Park",-104.921814128714,39.7642926960667
"Athmar Recreation Center","Indoor","Athmar Recreation Center",-105.019685982521,39.6855091876539
"Glenarm Recreation Center","Indoor","Glenarm Recreation Center",-104.975218217861,39.7550573674922
"Rude Recreation Center","Indoor","Rude Park",-105.022737186614,39.7364697629181
"Ashland Indoor Pool","Indoor","Ashland Recreation Center",-105.017691966272,39.759766240611
"Central Park Recreation Center","Indoor","Central Park Recreation Center",-104.874923790247,39.7609866540478
"Scheitler Recreation Center","Indoor","Berkeley Lake Park",-105.051237380225,39.781385888208
"La Familia Recreation Center","Indoor","La Familia Recreation Center",-104.994364179465,39.7157094774453
"La Alma Pool","Outdoor","La Alma / Lincoln Park",-105.004737147176,39.7341594665191
"Green Valley Ranch Pool","Outdoor","Green Valley Ranch East Park",-104.750243392979,39.7787212465208
"Harvard Gulch Pool","Outdoor","Harvard Gulch Park",-104.981696559413,39.6743541891006
"Swansea Pool","Outdoor","Swansea Park",-104.95566306077,39.7848656938586
"Eisenhower Pool","Outdoor","Eisenhower Park",-104.937572416002,39.6593421465252
"Aztlan Pool","Outdoor","Aztlan Recreation Center",-105.004545222478,39.7772464091591
"Berkeley Pool","Outdoor","Berkeley Lake Park",-105.051796790258,39.7814765375376
"Southwest Pool","Outdoor","Southwest Recreation Center",-105.099638838185,39.6289686251041
"Cook Pool","Outdoor","Cook Park",-104.908743179195,39.6866392467622
"Congress Pool","Outdoor","Congress Park",-104.95625462292,39.7301757260365
"Ruby Hill Pool","Outdoor","Ruby Hill Park",-105.00547012184,39.6867127080292
"Harvey Park Pool","Outdoor","Harvey Park",-105.041430306572,39.6781322688356
"Globeville Pool","Outdoor","Argo Park",-104.981827197888,39.7823570757387
"Barnum Pool","Outdoor","Barnum Recreation Center",-105.02772032173,39.7226134545443
"Mestizo-Curtis Pool","Outdoor","Mestizo-Curtis Park",-104.975132211549,39.7615955192613
"Garfield Pool","Outdoor","Garfield Lake Park",-105.035485343959,39.6953053772674
"Carla Madison Recreation Center (Leisure Pool)","Indoor","Carla Madison Recreation Center",-104.958501231088,39.7407547454959
"Carla Madison Recreation Center (Lap Pool)","Indoor","Carla Madison Recreation Center",-104.958377797639,39.7404757144815
