"long","lat","name","patron_count","circulation_volume","sqft","bgroup_id2","nbhd_id","nbhd_name"
-104.766843230327,39.7849247270732,"Green Valley Ranch",214301,335962,25602,"80310083892",28,"Gateway - Green Valley Ranch"
-104.84062078754,39.7798663116837,"Montbello",132874,133584,11443,"80310083063",45,"Montbello"
-104.875034246649,39.6543294033017,"Hampden",151501,423918,11560,"80310068142",32,"Hampden"
-104.900995372029,39.7590432029825,"Sam Gary",260107,749021,28490,"80310041071",60,"Stapleton"
-104.904955831427,39.7183720951251,"Schlessman Family",213601,689705,14884,"80310043062",42,"Lowry Field"
-104.922732347052,39.7638051152941,"Pauline Robinson",70130,69662,5285,"80310041012",49,"Northeast Park Hill"
-104.931697252644,39.6893226715176,"Virginia Village",134702,392856,11524,"80310051041",69,"Virginia Village"
-104.93276914454,39.747402927665,"Park Hill",159785,387181,10260,"80310042016",57,"South Park Hill"
-104.937772290729,39.6654190506174,"Ross-University Hills",191607,641750,21143,"80310040033",65,"University Hills"
-104.952205875201,39.7210613979019,"Ross-Cherry Creek",195128,333433,17808,"80310038005",13,"Cherry Creek"
-104.95933260411,39.7018264739744,"Eugene Field",112537,303551,10500,"80310039013",7,"Belcaro"
-104.962405462281,39.7817992867109,"Valdez-Perry",50075,46111,4883,"80310035001",25,"Elyria Swansea"
-104.964722970707,39.7572993026427,"Ford-Warren",87517,160834,10573,"80310023002",77,"Whittier"
-104.98164902424,39.752018042443,"Blair-Caldwell",126460,108572,34957,"80310024033",26,"Five Points"
-104.982791977395,39.6893982597924,"Decker",99948,184280,4932,"80310030011",51,"Platt Park"
-104.987117591121,39.7147735310427,"Ross-Broadway",78909,183930,4500,"80310028024",59,"Speer"
-104.987289495746,39.7384331120557,"Central",953878,1226843,540315,"80310027011",9,"Capitol Hill"
-104.998594246844,39.7269098141634,"Byers",63628,44562,3999,"80310018002",41,"Lincoln Park"
-105.012738231263,39.6974614841058,"Athmar Park",87425,109438,6478,"80310013022",1,"Athmar Park"
-105.025243650726,39.7627920896114,"Woodbury",117615,288001,10023,"80310003032",75,"West Highland"
-105.026213555252,39.6824303774611,"Hadley",91507,162322,12962,"80310046023",43,"Mar Lee"
-105.029388831796,39.7399188504571,"Rodolfo ""Corky"" Gonzalez Branch",180857,321423,26973,"80310007022",74,"West Colfax"
-105.03444315617,39.6985202199548,"Westwood",52713,50050,1073,"80310045062",76,"Westwood"
-105.034566147617,39.7181543433335,"Ross-Barnum",78792,124911,10500,"80310009034",4,"Barnum"
-105.045127613013,39.7802434250547,"Smiley",118602,286271,4726,"80310001023",8,"Berkeley"
-105.051641640694,39.6561650099749,"Bear Valley",170543,391010,11410,"80310048012",35,"Harvey Park South"
